"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_logo_present","tests","Fri May 02 18:07:22 GMT+04:00 2025","broken","Fri May 02 18:07:22 GMT+04:00 2025","","test_main_page","",""
"","0","test_dashboard_elements","tests","Fri May 02 18:06:59 GMT+04:00 2025","broken","Fri May 02 18:06:59 GMT+04:00 2025","","test_login_page","",""
"","4298","test_button1_exist","tests","Fri May 02 18:06:55 GMT+04:00 2025","passed","Fri May 02 18:06:59 GMT+04:00 2025","","test_login_page","",""
"","0","test_login_succesfull","tests","Fri May 02 18:07:19 GMT+04:00 2025","broken","Fri May 02 18:07:19 GMT+04:00 2025","","test_main_page","",""
"","0","test_invalid_login[invalid]","tests","Fri May 02 18:07:09 GMT+04:00 2025","broken","Fri May 02 18:07:09 GMT+04:00 2025","","test_login_page","",""
"","0","test_Payments_menu_button_isActive","tests","Fri May 02 18:07:43 GMT+04:00 2025","broken","Fri May 02 18:07:43 GMT+04:00 2025","","test_main_page","",""
"","0","test_Home_menu_button_isActive","tests","Fri May 02 18:07:33 GMT+04:00 2025","broken","Fri May 02 18:07:33 GMT+04:00 2025","","test_main_page","",""
"","0","test_Payment_menuItem_present","tests","Fri May 02 18:08:03 GMT+04:00 2025","broken","Fri May 02 18:08:03 GMT+04:00 2025","","test_main_page","",""
"","0","test_History_menu_button_isActive","tests","Fri May 02 18:07:53 GMT+04:00 2025","broken","Fri May 02 18:07:53 GMT+04:00 2025","","test_main_page","",""
"","0","test_button1_clicked","tests","Fri May 02 18:06:59 GMT+04:00 2025","skipped","Fri May 02 18:06:59 GMT+04:00 2025","","test_login_page","",""
"","0","test_valid_login[valid]","tests","Fri May 02 18:06:59 GMT+04:00 2025","broken","Fri May 02 18:06:59 GMT+04:00 2025","","test_login_page","",""
